edicion lolla ,artista ,genero musical 01,genero musical 02,genero musical 03,integrantes,nacionalidad,headliner,escenario,veces en lollapalooza
2012,Gentleman,Reggae,NA,NA,1,Alemana,No,Claro-LG Stage,1
2012,Pedro Piedra,Rock,Hip Hop,Indie,1,Chilena,No,Claro-LG Stage,1
2012,Foo Fighters ,Rock ,Hard Rock,Grunge,7,Estadounidense,Sí,Claro-LG Stage,1
2012,Joan Jett & The Blackhearts,Rock,Glam Rock,Punk Rock,4,Estadounidense,No,Claro-LG Stage,1
2012,Band of Horses,Rock,Indie,Folk rock,6,Estadounidense,No,Claro-LG Stage,1
2012,Foster The People,Indie Rock,Indie Pop,Alternativo,3,Estadounidense,No,Claro-LG Stage,1
2012,Arctic Monkeys,Indie Rock,Garage rock,Rock psicodélico,4,Británica,Sí,Coca Cola Stage,1
2012,Los Jaivas,Rock,Folclore ,Fusión latinoamericana,6,Chilena,No,Coca Cola Stage,1
2012,Gogol Bordello,Gypsy Punk,Punk ,Dub,7,Estadounidense,No,Coca Cola Stage,1
2012,Gustavo Cordera,Rock,Folclore ,Murga,1,Argentina,No,Coca Cola Stage,1
2012,MGMT ,Indie Pop,Pop psicodélico,Indie Rock,5,Estadounidense,No,Coca Cola Stage,1
2012,TV On the Radio,Art Rock,Indie rock,Rock electrónico,5,Estadounidense,No,Coca Cola Stage,1
2012,Friendly Fires,Indie Rock,Electrónica,Punk ,3,Británica,No,Coca Cola Stage,1
2012,Camila Moreno,Folk Rock,Rock,Indie,1,Chilena,No,Coca Cola Stage,1
2012,Juana Fe,Rock latino,Cumbia ,Salsa,7,Chilena,No,Coca Cola Stage,1
2012,Crosses ,Rock ,Rock electrónico,Dream pop,3,Estadounidense,No,Alternative Stage,1
2012,Electrodomésticos,Rock alternativo,Industrial,Punk,3,Chilena,No,Alternative Stage,1
2012,Los Tetas,Funk,Rock,Hip Hop,2,Chilena,No,Alternative Stage,1
2012,Hoppo!,Folk,Rock,Alternativo,5,Mexicana,No,Alternative Stage,1
2012,Peaches ,Synth pop,Electro pop,Punk Rock,1,Canadiense,No,Alternative Stage,1
